File name	Line	Function	Duration[ms]	Explored nodes
C:\Users\fanny\OneDrive\cours\INFO\S3\T3\Projet T3\Projet T3\Form1.Designer.cs	28	_Projet_T3.Form1.InitializeComponent$$	0	3
C:\Users\fanny\OneDrive\cours\INFO\S3\T3\Projet T3\Projet T3\Form1.cs	34	_Projet_T3.Form1.Form1_Load$object.System.EventArgs$	0	3
C:\Users\fanny\OneDrive\cours\INFO\S3\T3\Projet T3\Projet T3\frmPerso.Designer.cs	28	_Projet_T3.frmPerso.InitializeComponent$$	0	3
C:\Users\fanny\OneDrive\cours\INFO\S3\T3\Projet T3\Projet T3\frmTuto.Designer.cs	28	_Projet_T3.frmTuto.InitializeComponent$$	0	3
C:\Users\fanny\OneDrive\cours\INFO\S3\T3\Projet T3\Projet T3\Program.cs	10	_Projet_T3.Program.Main$$	0	3
C:\Users\fanny\OneDrive\cours\INFO\S3\T3\Projet T3\Projet T3\ucBulletin.Designer.cs	28	_Projet_T3.ucBulletin.InitializeComponent$$	0	3
C:\Users\fanny\OneDrive\cours\INFO\S3\T3\Projet T3\Projet T3\ucBulletin.cs	78	_Projet_T3.ucBulletin.Btn_quitter_Click$object.System.EventArgs$	0	3
C:\Users\fanny\OneDrive\cours\INFO\S3\T3\Projet T3\Projet T3\ucBulletin.cs	89	_Projet_T3.ucBulletin.Btn_menu_Click$object.System.EventArgs$	0	3
C:\Users\fanny\OneDrive\cours\INFO\S3\T3\Projet T3\Projet T3\ucBulletin.cs	100	_Projet_T3.ucBulletin.Btn_continue_Click$object.System.EventArgs$	0	3
C:\Users\fanny\OneDrive\cours\INFO\S3\T3\Projet T3\Projet T3\ucBulletin.cs	113	_Projet_T3.ucBulletin.note$int$	14	959
C:\Users\fanny\OneDrive\cours\INFO\S3\T3\Projet T3\Projet T3\ucBulletin.cs	151	_Projet_T3.ucBulletin.remplirBulletin$$	68	3203
C:\Users\fanny\OneDrive\cours\INFO\S3\T3\Projet T3\Projet T3\ucBulletin.cs	255	_Projet_T3.ucBulletin.chargementDsLocal$$	9	803
C:\Users\fanny\OneDrive\cours\INFO\S3\T3\Projet T3\Projet T3\ucBulletin.cs	296	_Projet_T3.ucBulletin.Button1_Click$object.System.EventArgs$	0	3
C:\Users\fanny\OneDrive\cours\INFO\S3\T3\Projet T3\Projet T3\ucEtape.Designer.cs	28	_Projet_T3.ucEtape.InitializeComponent$$	0	3
C:\Users\fanny\OneDrive\cours\INFO\S3\T3\Projet T3\Projet T3\ucEtape.cs	69	_Projet_T3.ucEtape.btnPrec_Click$object.System.EventArgs$	0	3
C:\Users\fanny\OneDrive\cours\INFO\S3\T3\Projet T3\Projet T3\ucEtape.cs	80	_Projet_T3.ucEtape.btnSuivant_Click$object.System.EventArgs$	0	3
C:\Users\fanny\OneDrive\cours\INFO\S3\T3\Projet T3\Projet T3\ucMenu.Designer.cs	28	_Projet_T3.Menu.InitializeComponent$$	0	3
C:\Users\fanny\OneDrive\cours\INFO\S3\T3\Projet T3\Projet T3\ucMenu.cs	41	_Projet_T3.Menu.btn_tuto_Click$object.System.EventArgs$	0	3
C:\Users\fanny\OneDrive\cours\INFO\S3\T3\Projet T3\Projet T3\ucMenu.cs	52	_Projet_T3.Menu.btn_quitter_Click$object.System.EventArgs$	0	3
C:\Users\fanny\OneDrive\cours\INFO\S3\T3\Projet T3\Projet T3\ucMenu.cs	93	_Projet_T3.Menu.tbx_pseudo_KeyPress$object.System.Windows.Forms.KeyPressEventArgs$	0	5
C:\Users\fanny\OneDrive\cours\INFO\S3\T3\Projet T3\Projet T3\ucMenu.cs	105	_Projet_T3.Menu.Tbx_pseudo_Click$object.System.EventArgs$	0	3
C:\Users\fanny\OneDrive\cours\INFO\S3\T3\Projet T3\Projet T3\ucPartie.Designer.cs	28	_Projet_T3.ucPartie.InitializeComponent$$	0	3
C:\Users\fanny\OneDrive\cours\INFO\S3\T3\Projet T3\Projet T3\ucPartie.cs	357	_Projet_T3.ucPartie.calculeMerite$int$	0	34
C:\Users\fanny\OneDrive\cours\INFO\S3\T3\Projet T3\Projet T3\ucPartie.cs	378	_Projet_T3.ucPartie.calculeCompetence$int$	0	34
C:\Users\fanny\OneDrive\cours\INFO\S3\T3\Projet T3\Projet T3\ucPartie.cs	421	_Projet_T3.ucPartie.chargementDsLocal$$	13	1103
C:\Users\fanny\OneDrive\cours\INFO\S3\T3\Projet T3\Projet T3\ucPerso.Designer.cs	28	_Projet_T3.ucPerso.InitializeComponent$$	0	3
